0,1,Rostislav Puschen,1,22,false
1,1,Tasnim Engels,10,32,false
2,1,Celestina Tressl,5,23,false
3,1,Joshua Karkosch,9,25,false
4,1,Susan Bachish,8,25,false
5,1,Rasheeda Thiemens,2,23,false
6,1,Roselin Mirallas,7,28,false
7,1,Vashti Globisch,3,24,false
8,1,Misbah Moebus,11,28,false
9,1,Rosiane Hendricks,10,26,true
10,1,Mubashir Vansovich,5,29,true
11,1,Avinash Gaspar,9,28,true
12,1,Hosni Forakis,6,26,true
13,2,Anastasio Santosjuanes,1,29,false
14,2,Zhisheng Giesbrecht,10,23,false
15,2,Costica Felsenstein,7,21,false
16,2,Rossend Mathissen,2,21,false
17,2,Isidro Mischenkov,11,26,false
18,2,Reposo Lauenstein,9,21,false
19,2,Esohe Osimani,3,29,false
20,2,Denese Alamos,6,25,false
21,2,Gersain Cornelius,5,29,false
22,2,Denisa Aspin,4,25,true
23,2,Grisel Manjarres,7,27,true
24,3,Mistie Nasti,1,25,false
25,3,Eudosia Girstenbrei,9,22,false
26,3,Kirsa Rutschle,10,24,false
27,3,Atsushi Dunges,6,30,false
28,3,Sogues Dorfschmidt,4,29,false
29,3,Prisca Wynants,7,25,false
30,3,Tlaytmass Estopiña,11,21,false
31,3,Christos Grushinsky,2,27,false
32,4,Josimar Drossel,1,22,false
33,4,Basilides Arispe,11,23,false
34,4,Asuncion Barckhausen,2,31,false
35,4,Edmilson Caster,10,21,false
36,4,Marisol Gsegnet,9,27,false
37,4,Cesc Beilis,5,22,false
38,4,Ishrat Escario,4,21,false
39,4,Matias Baltussen,8,28,false
40,4,Ishtiaq Escolastico,3,23,false
41,4,Abdessamie Ruthenschror,6,24,false
42,4,Katsiaryna Heinschel,6,25,true
43,4,Ascensio Gerasimovsky,7,31,true
44,4,Aristide Ametistov,11,27,true
45,4,Candis Badenes,2,22,true
46,4,Amneris Dontsov,3,28,true
47,4,Lisset Percisa,7,32,true
48,5,Lakeisha Mosegui,1,23,false
49,5,Christine Fincias,8,24,false
50,5,Miloslav Parkinson,7,23,false
51,5,Malissa Stappmanns,6,31,false
52,5,Tesifonte Grudziesk,2,23,false
53,5,Bassim Gottschald,10,27,false
54,5,Yusimy Gashkov,9,21,false
55,5,Rokas Desideri,3,31,false
56,5,Abdenasser Escaray,11,24,false
57,5,Assunta Dercks,10,23,true
58,5,Kesha Mannsky,11,24,true
59,5,Montañas Auslender,9,29,true
60,5,Ceesay Padros,3,28,true
61,5,Kasem Dinis,2,25,true
62,5,Pascual Zylstra,7,31,true
63,6,Gladys Blaustein,1,25,false
64,6,Zakarias Zschogner,8,29,false
65,6,Piroska Mullners,10,28,false
66,6,Cristi Nevitsky,7,24,false
67,6,Hasnae Beklenischev,5,24,false
68,6,Romas Michelys,6,24,false
69,6,Espino Cofreces,11,29,false
70,6,Jasmina Effers,2,32,false
71,6,Assmae Gorostizu,1,27,true
